batch_id,phase,observable_result,starting_commit,ending_commit,start_utc,end_utc,elapsed_minutes,focused_test_runs,full_suite_runs,builds,player_runs,expensive_rerun_reasons,acceptance_result,unresolved_defects,client_usage
EFF.1,workflow,Batch measurement format and validation controls ready,47fff4437030536d71fe82b84d25fa8abf3416b6,subject: docs: record feature batch efficiency,2026-09-08T03:52:10+00:00,2026-09-08T03:53:51.641173+00:00,1.69,0,0,0,0,none,"PASS: local links, diff and phase checklist reviewed",none,unavailable
B.3R.1-2,B,Heavy ship pushes sleeping pixel with mass-dependent slowdown and continued thrust,93f261af25899dee8484b8019919f9926fff24d5,subject: feat: exchange ship and loose cell momentum on GPU,2026-09-08T03:53:51+00:00,2026-09-08T04:08:02.837823+00:00,14.2,5,3,2,2,Suite 2: reproduced starter rounding fallback then added skin; suite 3: fuel-grade density correction; build/player 2: both fixes after failed first player. See B3R-single-cell-player.txt,PASS: analytical contacts; 43 tests; Mac single-cell force and moving save/load,B.3R.3-4: piles/cargo/fragments/anchors/high-speed/budgets/migration remain,unavailable
B.3R.3,B,Mass-coupled piles and free cargo; fragment torque; anchored sliding and dynamic chips,36c9d5ebcfc9682e6b9a4895167c327b8e8fbf91,subject: feat: couple cargo piles fragments and anchored contacts,2026-09-08T04:08:18+00:00,2026-09-08T04:37:08.659213+00:00,28.84,10,1,1,1,none,PASS scoped physics: 49 tests and combined Mac player; FAIL performance,GPU p95 324.505 ms exceeds 20 ms; 29 convergence fallbacks; physics serialization and speed/budget gates pending,unavailable
B.3R.R0,B,Locked parallel replacement contract and preserved unfinished gatherer,f3aa5c9,subject: docs: freeze parallel granular contact redesign,2026-09-09T02:48:12.570737+00:00,2026-09-09T02:50:24.105813+00:00,2.19,0,0,0,0,none,PASS: diff links and checklist; no Unity launch,R1 proof and all integration gates open,unavailable
B.3R.R1-proof,B,Runnable parallel square-grain necessary packed experiment; all profiles fail and integration stops,be2294e,subject: docs: record parallel packed solver stop evidence,2026-09-09T02:50:24+00:00,2026-09-10T03:31:49.015030+00:00,1481.42,10,0,1,1,3 startup failures and 7 fixture runs: HLSL reserved word; barrier uniformity; EditMode disposal; exact speed ceil; warning cleanup; full validation maxima. No build/player rerun. See B3R-parallel-experiment.md,PASS: 8 focused tests and build; FAIL: every packed profile,Stop R1 integration: solid penetration; full performance/manifold/workload matrix and R2-R4 incomplete; elapsed spans resumed-session gap,unavailable
B.3R.R1-pieces,B,Delegated geometry rigid manifolds and GPU metrics; packed gate still fails,8532323,subject: docs: record delegated proof validation and remaining gate,2026-09-10T03:32:50+00:00,2026-09-12T23:28:52.551784+00:00,4076.04,9,0,1,1,2 compile failures; 1 editor lock; 6 fixture runs for shader and capacity defects. See B3R-parallel-pieces.md. No build/player reruns.,PASS: 30 tests build and rigid player; FAIL: all packed profiles,R1 integration stopped; GPU p95 unmeasured; R2-R4 incomplete; wall interval includes multi-day pauses,unavailable
B.3R.R1-diagnostics,B,Bounded GPU rejected-state traces and independent replay; working Mac build with accepted packed limitation,c4e114c,subject: feat: finish packed contact diagnostics and verify Mac build,2026-09-13T23:41:19.628328+00:00,2026-09-18T00:12:52.472851+00:00,5791.55,9 prior logged attempts + 1 resumed,0,1 prior recorded + 2 resumed (one sandbox startup abort),prior count unavailable; 2 resumed,See B3R-packed-diagnosis.md: licensing; namespace/compiler defects; parity investigation and correction; shader reimport after broken player build; sandbox startup abort. Elapsed spans interruption gaps; start is preserved-baseline timestamp.,PASS 52 tests build rigid impact and ship/save scenario; packed rejections accepted for checkpoint only,Packed convergence and performance gates open; legacy gameplay; unrelated unfinished workspace files preserved,unavailable
B.3R-interim-penetration,B,Documented interim .002-cell solid-penetration gate; original .001 target retained as intentional TODO,uncommitted,subject: defer B.3R packed convergence target,2026-09-18T00:17:00Z,2026-09-18T00:23:22Z,6.37,0,0,1,0,Build succeeded; post-change proof launch aborted with exit 134 before solver output.,Diff/status review passed; player proof rerun unavailable due runner abort,Interim integration may proceed; .001 target remains unresolved and must not be tightened or removed without intentional review,unavailable
B.3R-page-startup,B,Generated candidate startup acknowledges thrust without terrain Page fault or fake grain,e619313,subject: fix: validate grain pages without rejecting terrain,unavailable,2026-09-18T04:47:16Z,unavailable,1,1,1,1,none; first UTC marker 04:42:28 followed initial inspection; full elapsed unavailable,PASS: 11 focused and 110 fast tests plus one explicit skip; Mac build succeeded; one original-player reproduction,No post-fix player launch under user limit; terrain contact bypass and R2a gameplay gates remain; see B3R-page-startup.md,unavailable
B.3R-gpu-flight-collisions,B,Opt-in GPU candidate uses local/COM-correct rigid geometry, terrain contacts, compact motion completions and direct buffer rendering,ee78353,subject: feat: implement GPU flight and collision candidate,2026-09-18T05:00:00Z,2026-09-18T05:15:18Z,15.3,0,3,4,1,Initial focused invocation found a duplicate OnDestroy compile error; final review and first player run exposed unbound candidate shader resources. Both were corrected, then final suite/build/player startup were rerun,"PASS: final EditMode 110 passed / 1 explicit skip; final Mac build success; 25-second player startup active without Metal binding or solver fault",Collision/render interaction beyond startup; specified terrain/contact/completion cases and packed-cargo/performance gates remain unverified,unavailable
